name,sku,price,mrp,stock,category,weight,shortdescription,description,image
"Niacinamide 10% Blemish Serum","BEAUTY-SKIN-011",549,849,65,"Skincare","30ml","Clarifying serum for open pores and dark spots","Formulated with 10% Niacinamide and 1% Zinc PCA to balance sebum production, minimize pores and clear acne marks.","https://images.unsplash.com/photo-1617897903246-719242758050?w=500&auto=format&fit=crop&q=60"
"Charcoal Deep Cleansing Face Scrub","BEAUTY-SKIN-012",329,499,50,"Skincare","100g","Exfoliating scrub to remove blackheads and dead skin","Activated bamboo charcoal scrub that draws out impurities, removes blackheads and polishes skin surface gently.","https://images.unsplash.com/photo-1556228722-d1191e70e28e?w=500&auto=format&fit=crop&q=60"
"Argan Oil Intense Moisture Shampoo","BEAUTY-HAIR-013",499,799,70,"Haircare","300ml","Sulfate-free hydrating hair wash shampoo","Gentle cleansing shampoo enriched with Moroccan Argan Oil and Vitamin B5 to nourish dry, chemically treated hair.","https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=500&auto=format&fit=crop&q=60"
"BB Cream SPF 30 Natural Shade","BEAUTY-MAKEUP-014",379,599,60,"Makeup","40g","All-in-one daily coverage beauty balm","Lightweight BB cream that evens out skin tone, covers minor blemishes, and provides SPF 30 sun protection with a dewy finish.","https://images.unsplash.com/photo-1512496015851-a90fb38ba796?w=500&auto=format&fit=crop&q=60"
"Aloe Vera Multipurpose Soothing Gel","BEAUTY-SKIN-015",249,399,120,"Skincare","200g","99% organic cold-pressed aloe vera gel","Pure aloe vera gel for face, body, and hair. Calms sunburns, soothes irritated skin, and hydrates deeply.","https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=500&auto=format&fit=crop&q=60"
"Velvety Compact Powder - Warm Beige","BEAUTY-MAKEUP-016",299,499,40,"Makeup","12g","Oil-control matte finish compact powder","Finely milled pressed powder that absorbs excess shine, sets makeup, and provides seamless medium coverage.","https://images.unsplash.com/photo-1590156206657-e6f77ec9c91d?w=500&auto=format&fit=crop&q=60"
"Coffee Body Scrub & Exfoliator","BEAUTY-BODY-017",449,699,50,"Body Care","150g","Raw coffee and coconut oil body exfoliator","Exfoliating coffee scrub that reduces tan, removes dead skin cells, and leaves skin smooth and nourished.","https://images.unsplash.com/photo-1608248545263-1c843f81c100?w=500&auto=format&fit=crop&q=60"
"Shea Butter Deep Hydration Body Lotion","BEAUTY-BODY-018",399,599,85,"Body Care","250ml","Rich moisturizing body lotion for dry skin","Deeply nourishing lotion with organic Shea Butter and Almond Oil for 48-hour intense skin softness and fragrance.","https://images.unsplash.com/photo-1619451334792-150fd785ee74?w=500&auto=format&fit=crop&q=60"
"Nude Eyeshadow Palette 12 Colors","BEAUTY-MAKEUP-019",699,1199,35,"Makeup","20g","Highly pigmented matte and shimmer eyeshadow palette","12 versatile nude shades featuring buttery mattes and radiant shimmers for everyday subtle or glam evening looks.","https://images.unsplash.com/photo-1512496015851-a90fb38ba796?w=500&auto=format&fit=crop&q=60"
"Organic Lip Balm - Strawberry Crush","BEAUTY-MAKEUP-020",149,249,150,"Makeup","10g","Tinted moisturizing lip balm with natural oils","Hydrating lip balm with strawberry extract, jojoba oil and beeswax for soft, plump and subtly tinted lips.","https://images.unsplash.com/photo-1625093742435-6fa192b6fb10?w=500&auto=format&fit=crop&q=60"
